# Biome assignment for 50-cell Phase F smoke gridlist
# Authored at block 8.2.5 Phase F session 12 day 2 2026-05-27
# Format: lon lat | biome_group | sub_region
  -61.75    1.25 | Tropical_evergreen_forest      | Tropical_evergreen_Amazon
  -60.25    3.75 | Tropical_evergreen_forest      | Tropical_evergreen_Amazon
   19.25    2.25 | Tropical_evergreen_forest      | Tropical_evergreen_Congo
   23.25    2.75 | Tropical_evergreen_forest      | Tropical_evergreen_Congo
  114.75   -4.25 | Tropical_evergreen_forest      | Tropical_evergreen_SEAsia
   -4.75   12.25 | Tropical_savanna_seasonal      | Tropical_savanna_Sahel
    6.75   16.25 | Tropical_savanna_seasonal      | Tropical_savanna_Sahel
  -41.75   -9.25 | Tropical_savanna_seasonal      | Tropical_savanna_Cerrado
  -46.25  -19.25 | Tropical_savanna_seasonal      | Tropical_savanna_Cerrado
   71.25   20.75 | Tropical_savanna_seasonal      | Tropical_savanna_IndiaDry
  -88.75   40.25 | Temperate_deciduous_forest     | Temp_deciduous_USEast
  -84.25   31.25 | Temperate_deciduous_forest     | Temp_deciduous_USEast
   22.75   45.25 | Temperate_deciduous_forest     | Temp_deciduous_Europe
    9.25   46.25 | Temperate_deciduous_forest     | Temp_deciduous_Europe
  117.75   39.25 | Temperate_deciduous_forest     | Temp_deciduous_ChinaE
 -130.25   53.75 | Temperate_evergreen_forest     | Temp_evergreen_PacNW
 -121.75   53.25 | Temperate_evergreen_forest     | Temp_evergreen_PacNW
  -67.25  -37.25 | Temperate_evergreen_forest     | Temp_evergreen_Patagonia
  -69.25  -39.25 | Temperate_evergreen_forest     | Temp_evergreen_Patagonia
  173.75  -41.75 | Temperate_evergreen_forest     | Temp_evergreen_NewZealand
 -102.25   56.75 | Boreal_forest                  | Boreal_Canada
 -133.75   56.75 | Boreal_forest                  | Boreal_Canada
   64.25   64.75 | Boreal_forest                  | Boreal_Siberia
   75.25   58.25 | Boreal_forest                  | Boreal_Siberia
   23.25   65.75 | Boreal_forest                  | Boreal_Scandinavia
   39.25   38.25 | Mediterranean_shrubland        | Med_MedBasin
   -4.25   31.75 | Mediterranean_shrubland        | Med_MedBasin
 -121.75   38.75 | Mediterranean_shrubland        | Med_California
  124.25  -30.75 | Mediterranean_shrubland        | Med_SWAust
   20.75  -32.25 | Mediterranean_shrubland        | Med_SAfrSW
  -99.75   42.25 | Grasslands_steppes             | Grass_USPlains
  -98.75   35.25 | Grasslands_steppes             | Grass_USPlains
   87.25   47.25 | Grasslands_steppes             | Grass_EurasianSteppe
   50.75   52.75 | Grasslands_steppes             | Grass_EurasianSteppe
  -57.75  -30.25 | Grasslands_steppes             | Grass_Pampas
  -85.75   73.25 | Tundra                         | Tundra_ArcticCanada
 -124.25   69.75 | Tundra                         | Tundra_ArcticCanada
  117.75   67.25 | Tundra                         | Tundra_ArcticRussia
   82.25   72.75 | Tundra                         | Tundra_ArcticRussia
  -25.75   72.25 | Tundra                         | Tundra_GreenlandMargin
   29.25   21.75 | Desert_semi_arid               | Desert_Sahara
   13.25   26.25 | Desert_semi_arid               | Desert_Sahara
   47.75   17.75 | Desert_semi_arid               | Desert_Arabia
  130.75  -24.25 | Desert_semi_arid               | Desert_AustInterior
  -69.25  -23.75 | Desert_semi_arid               | Desert_Atacama
   72.25   58.75 | Wetlands_peatlands             | Wetland_WSiberia
   82.75   62.25 | Wetlands_peatlands             | Wetland_WSiberia
  -94.75   52.75 | Wetlands_peatlands             | Wetland_HudsonBay
  -90.25   50.25 | Wetlands_peatlands             | Wetland_HudsonBay
  102.75    4.75 | Wetlands_peatlands             | Wetland_SEAsiaPeat
