Lon   Lat   clay silt sand orgC CN pH cellfraction 
-123.25 38.25 0.331 0.285 0.384 0.019 11.913 5.740 0.474 
96.25 67.75 0.270 0.300 0.430 0.014 11.000 7.600 0.386 
-73.75 -15.75 0.090 0.320 0.590 0.031 11.000 5.900 0.490 
117.75 51.25 0.270 0.300 0.430 0.014 11.000 7.600 0.298 
-65.75 -31.25 0.230 0.280 0.490 0.007 10.000 8.000 0.600 
163.25 66.75 0.210 0.420 0.370 0.017 14.000 5.100 0.407 
-40.25 -7.75 0.190 0.160 0.650 0.007 12.000 6.200 0.321 
-123.25 55.25 0.130 0.290 0.580 0.006 11.000 6.200 0.370 
-46.75 -18.25 0.540 0.200 0.260 0.014 13.000 4.900 0.693 
121.25 22.75 0.258 0.272 0.470 0.013 11.181 7.178 0.526 
-93.25 70.25 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
22.75 -21.25 0.050 0.060 0.890 0.004 11.000 6.400 0.375 
-65.75 1.75 0.390 0.170 0.440 0.013 12.000 4.900 0.600 
136.25 -33.75 0.260 0.250 0.490 0.007 11.000 7.800 0.519 
107.25 13.25 0.260 0.190 0.550 0.009 13.000 5.300 0.343 
16.25 26.25 0.170 0.270 0.560 0.004 9.000 8.000 0.474 
-51.75 -32.25 0.175 0.231 0.594 0.010 10.527 5.782 0.559 
-45.25 -3.25 0.350 0.110 0.540 0.010 13.000 4.500 0.539 
-91.75 79.75 0.080 0.370 0.550 0.020 11.000 5.900 1.000 
75.75 25.25 0.540 0.290 0.170 0.008 11.000 7.900 0.522 
168.75 66.25 0.270 0.300 0.430 0.014 11.000 7.600 0.403 
82.75 71.75 0.200 0.480 0.320 0.031 17.000 6.300 0.573 
95.25 59.25 0.270 0.300 0.430 0.014 11.000 7.600 0.339 
-46.75 -20.75 0.190 0.160 0.650 0.007 12.000 6.200 0.565 
32.75 11.75 0.540 0.290 0.170 0.008 11.000 7.900 0.488 
-88.75 67.25 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
161.25 61.25 0.270 0.300 0.430 0.014 11.000 7.600 0.399 
23.75 -26.25 0.050 0.060 0.890 0.004 11.000 6.400 0.375 
32.25 -6.25 0.260 0.190 0.550 0.009 13.000 5.300 0.444 
64.75 47.25 0.260 0.250 0.490 0.007 11.000 7.800 0.513 
105.25 41.75 0.170 0.270 0.560 0.004 9.000 8.000 0.900 
33.75 -6.25 0.260 0.190 0.550 0.009 13.000 5.300 0.444 
-53.75 -26.75 0.310 0.360 0.330 0.018 11.000 6.200 0.642 
104.75 10.25 0.430 0.330 0.240 0.030 13.000 4.800 0.618 
-70.75 63.25 0.080 0.370 0.550 0.020 11.000 5.900 0.601 
18.25 -17.25 0.190 0.160 0.650 0.007 12.000 6.200 0.401 
15.25 37.75 0.240 0.310 0.450 0.010 11.000 6.600 0.345 
26.25 0.75 0.390 0.170 0.440 0.013 12.000 4.900 0.700 
-138.25 62.75 0.240 0.310 0.450 0.010 11.000 6.600 0.663 
43.75 24.75 0.170 0.270 0.560 0.004 9.000 8.000 0.680 
10.25 37.25 0.317 0.310 0.374 0.009 10.897 7.353 0.343 
