Year,Scenario,RCMIP_total,RCMIP_agri,RCMIP_nonagri,Our_agri,New_total,Period
1900,SSP1-2.6,87.6133,45.61,42.0033,45.61,87.6133,pre-inventory
1901,SSP1-2.6,88.3912,45.7357,42.6554,45.7357,88.3912,pre-inventory
1902,SSP1-2.6,89.2628,45.8615,43.4014,45.8615,89.2628,pre-inventory
1903,SSP1-2.6,89.8907,45.9872,43.9035,45.9872,89.8907,pre-inventory
1904,SSP1-2.6,91.3567,46.113,45.2438,46.113,91.3567,pre-inventory
1905,SSP1-2.6,92.4013,46.2387,46.1626,46.2387,92.4013,pre-inventory
1906,SSP1-2.6,93.25,46.3645,46.8855,46.3645,93.25,pre-inventory
1907,SSP1-2.6,94.5608,46.4902,48.0706,46.4902,94.5608,pre-inventory
1908,SSP1-2.6,95.7124,46.616,49.0964,46.616,95.7124,pre-inventory
1909,SSP1-2.6,96.4667,46.7417,49.725,46.7417,96.4667,pre-inventory
1910,SSP1-2.6,97.7719,46.8675,50.9044,46.8675,97.7719,pre-inventory
1911,SSP1-2.6,98.4294,47.7362,50.6932,47.7362,98.4294,pre-inventory
1912,SSP1-2.6,99.2661,48.6049,50.6612,48.6049,99.2661,pre-inventory
1913,SSP1-2.6,100.6126,49.4736,51.1389,49.4736,100.6126,pre-inventory
1914,SSP1-2.6,102.2841,50.3424,51.9417,50.3424,102.2841,pre-inventory
1915,SSP1-2.6,103.0579,51.2111,51.8468,51.2111,103.0579,pre-inventory
1916,SSP1-2.6,104.0889,52.0798,52.0091,52.0798,104.0889,pre-inventory
1917,SSP1-2.6,105.4397,52.9486,52.4912,52.9486,105.4397,pre-inventory
1918,SSP1-2.6,106.7459,53.8173,52.9287,53.8173,106.7459,pre-inventory
1919,SSP1-2.6,108.0951,54.686,53.4091,54.686,108.0951,pre-inventory
1920,SSP1-2.6,109.1336,55.5547,53.5789,55.5547,109.1336,pre-inventory
1921,SSP1-2.6,109.8093,55.9964,53.813,55.9964,109.8093,pre-inventory
1922,SSP1-2.6,110.4858,56.438,54.0478,56.438,110.4858,pre-inventory
1923,SSP1-2.6,112.2536,56.8797,55.3739,56.8797,112.2536,pre-inventory
1924,SSP1-2.6,112.6335,57.3213,55.3122,57.3213,112.6335,pre-inventory
1925,SSP1-2.6,113.6704,57.763,55.9075,57.763,113.6704,pre-inventory
1926,SSP1-2.6,114.5456,58.2046,56.341,58.2046,114.5456,pre-inventory
1927,SSP1-2.6,115.7475,58.6463,57.1012,58.6463,115.7475,pre-inventory
1928,SSP1-2.6,116.7959,59.0879,57.7079,59.0879,116.7959,pre-inventory
1929,SSP1-2.6,118.02,59.5296,58.4904,59.5296,118.02,pre-inventory
1930,SSP1-2.6,119.6702,59.9712,59.699,59.9712,119.6702,pre-inventory
1931,SSP1-2.6,119.9075,60.2175,59.69,60.2175,119.9075,pre-inventory
1932,SSP1-2.6,121.422,60.4639,60.9581,60.4639,121.422,pre-inventory
