Year,Scenario,RCMIP_total,RCMIP_agri,RCMIP_nonagri,Our_agri,New_total,Period
1900,SSP1-2.6,1.356163,1.189643,0.16652,1.189643,1.356163,pre-inventory
1901,SSP1-2.6,1.369103,1.197525,0.171579,1.197525,1.369103,pre-inventory
1902,SSP1-2.6,1.384515,1.208382,0.176133,1.208382,1.384515,pre-inventory
1903,SSP1-2.6,1.399355,1.21679,0.182566,1.21679,1.399355,pre-inventory
1904,SSP1-2.6,1.415598,1.227676,0.187922,1.227676,1.415598,pre-inventory
1905,SSP1-2.6,1.432563,1.237013,0.19555,1.237013,1.432563,pre-inventory
1906,SSP1-2.6,1.449952,1.247545,0.202407,1.247545,1.449952,pre-inventory
1907,SSP1-2.6,1.466752,1.25822,0.208532,1.25822,1.466752,pre-inventory
1908,SSP1-2.6,1.483125,1.269081,0.214044,1.269081,1.483125,pre-inventory
1909,SSP1-2.6,1.499101,1.279904,0.219197,1.279904,1.499101,pre-inventory
1910,SSP1-2.6,1.515945,1.289783,0.226162,1.289783,1.515945,pre-inventory
1911,SSP1-2.6,1.533706,1.305656,0.22805,1.305656,1.533706,pre-inventory
1912,SSP1-2.6,1.559234,1.325697,0.233537,1.325697,1.559234,pre-inventory
1913,SSP1-2.6,1.589117,1.351338,0.237779,1.351338,1.589117,pre-inventory
1914,SSP1-2.6,1.621623,1.380529,0.241094,1.380529,1.621623,pre-inventory
1915,SSP1-2.6,1.656958,1.412406,0.244552,1.412406,1.656958,pre-inventory
1916,SSP1-2.6,1.693364,1.443675,0.249689,1.443675,1.693364,pre-inventory
1917,SSP1-2.6,1.728659,1.476542,0.252116,1.476542,1.728659,pre-inventory
1918,SSP1-2.6,1.761607,1.506138,0.25547,1.506138,1.761607,pre-inventory
1919,SSP1-2.6,1.79147,1.53294,0.25853,1.53294,1.79147,pre-inventory
1920,SSP1-2.6,1.818808,1.556377,0.262431,1.556377,1.818808,pre-inventory
1921,SSP1-2.6,1.843607,1.576792,0.266815,1.576792,1.843607,pre-inventory
1922,SSP1-2.6,1.867742,1.598084,0.269658,1.598084,1.867742,pre-inventory
1923,SSP1-2.6,1.893417,1.618957,0.27446,1.618957,1.893417,pre-inventory
1924,SSP1-2.6,1.920281,1.642291,0.27799,1.642291,1.920281,pre-inventory
1925,SSP1-2.6,1.944747,1.66233,0.282417,1.66233,1.944747,pre-inventory
1926,SSP1-2.6,1.968033,1.682936,0.285097,1.682936,1.968033,pre-inventory
1927,SSP1-2.6,1.990269,1.700611,0.289658,1.700611,1.990269,pre-inventory
1928,SSP1-2.6,2.010725,1.717144,0.293581,1.717144,2.010725,pre-inventory
1929,SSP1-2.6,2.028075,1.731912,0.296162,1.731912,2.028075,pre-inventory
1930,SSP1-2.6,2.043068,1.742334,0.300733,1.742334,2.043068,pre-inventory
1931,SSP1-2.6,2.053984,1.750697,0.303287,1.750697,2.053984,pre-inventory
1932,SSP1-2.6,2.064649,1.755452,0.309197,1.755452,2.064649,pre-inventory
1933,SSP1-2.6,2.07356,1.758047,0.315513,1.758047,2.07356,pre-inventory
1934,SSP1-2.6,2.083435,1.75784,0.325594,1.75784,2.083435,pre-inventory
1935,SSP1-2.6,2.093473,1.756532,0.336941,1.756532,2.093473,pre-inventory
1936,SSP1-2.6,2.103273,1.756404,0.346869,1.756404,2.103273,pre-inventory
1937,SSP1-2.6,2.115584,1.756268,0.359315,1.756268,2.115584,pre-inventory
1938,SSP1-2.6,2.129098,1.758643,0.370454,1.758643,2.129098,pre-inventory
1939,SSP1-2.6,2.147484,1.764251,0.383233,1.764251,2.147484,pre-inventory
1940,SSP1-2.6,2.167532,1.771817,0.395715,1.771817,2.167532,pre-inventory
1941,SSP1-2.6,2.24212,1.832546,0.409574,1.832546,2.24212,pre-inventory
1942,SSP1-2.6,2.403564,1.973902,0.429662,1.973902,2.403564,pre-inventory
1943,SSP1-2.6,2.636053,2.179616,0.456437,2.179616,2.636053,pre-inventory
1944,SSP1-2.6,2.912497,2.430879,0.481618,2.430879,2.912497,pre-inventory
1945,SSP1-2.6,3.215873,2.703676,0.512197,2.703676,3.215873,pre-inventory
1946,SSP1-2.6,3.522872,2.980032,0.54284,2.980032,3.522872,pre-inventory
1947,SSP1-2.6,3.815764,3.238734,0.577029,3.238734,3.815764,pre-inventory
1948,SSP1-2.6,4.068702,3.461908,0.606794,3.461908,4.068702,pre-inventory
1949,SSP1-2.6,4.264104,3.628919,0.635185,3.628919,4.264104,pre-inventory
1950,SSP1-2.6,4.378499,3.718148,0.66035,3.718148,4.378499,pre-inventory
1951,SSP1-2.6,4.44758,3.758339,0.689241,3.758339,4.44758,pre-inventory
1952,SSP1-2.6,4.514631,3.791693,0.722938,3.791693,4.514631,pre-inventory
1953,SSP1-2.6,4.585339,3.817763,0.767575,3.817763,4.585339,pre-inventory
1954,SSP1-2.6,4.658919,3.843738,0.81518,3.843738,4.658919,pre-inventory
1955,SSP1-2.6,4.738574,3.867767,0.870807,3.867767,4.738574,pre-inventory
1956,SSP1-2.6,4.819785,3.895597,0.924188,3.895597,4.819785,pre-inventory
1957,SSP1-2.6,4.906312,3.922005,0.984307,3.922005,4.906312,pre-inventory
1958,SSP1-2.6,5.002815,3.957337,1.045478,3.957337,5.002815,pre-inventory
1959,SSP1-2.6,5.106722,4.003444,1.103278,4.003444,5.106722,pre-inventory
1960,SSP1-2.6,5.222367,4.057507,1.16486,4.057507,5.222367,pre-inventory
1961,SSP1-2.6,5.570292,4.340348,1.229945,4.340348,5.570292,pre-inventory
1962,SSP1-2.6,5.779895,4.475612,1.304283,4.475612,5.779895,pre-inventory
1963,SSP1-2.6,5.976277,4.587625,1.388652,4.587625,5.976277,pre-inventory
1964,SSP1-2.6,6.199344,4.720826,1.478518,4.720826,6.199344,pre-inventory
1965,SSP1-2.6,6.46556,4.894107,1.571453,4.894107,6.46556,pre-inventory
1966,SSP1-2.6,6.773508,5.106725,1.666782,5.106725,6.773508,pre-inventory
1967,SSP1-2.6,7.041514,5.281761,1.759753,5.281761,7.041514,pre-inventory
